Movie Count,Tot_Profit,Avg_Profit,Max_Profit,Min_Profit,Tot_Rev,Avg_Rev,Max_Rev,Min_Rev,Tot_Bugd,Avg_Budg,Max_Budg,Min_Budg,Avg_ROI,Max_ROI,Min_ROI,Avg_RT_Ascore,Max_RT_Ascore,Min_RT_Ascore
11,125920874.0,11447352.181818182,84705427.0,-52637440.0,1037920874.0,94356443.0909091,187705427.0,24819936.0,912000000.0,82909090.9090909,133000000.0,15000000.0,0.18358141769245864,0.822382786407767,-0.4577168695652174,7.254545454545456,8.2,5.4
11,387750732.0,35250066.54545455,275455270.0,-67719421.0,1215750732.0,110522793.81818181,330455270.0,10137502.0,828000000.0,75272727.27272727,150000000.0,31000000.0,0.6595136788748944,5.008277636363636,-0.7103570857142857,7.363636363636363,8.2,6.4
11,239501756.0,21772886.90909091,73595205.0,-23467223.0,737751756.0,67068341.45454545,162805434.0,12532777.0,498250000.0,45295454.54545455,100000000.0,20000000.0,0.43726884531419913,1.4152924038461538,-0.6518673055555556,7.363636363636363,8.6,6.4
11,188400153.0,17127286.636363637,82924631.0,-59797621.0,661300153.0,60118195.72727273,162924631.0,1108462.0,472900000.0,42990909.09090909,100000000.0,3000000.0,0.6325715322102354,2.498397627118644,-0.6729190555555555,7.363636363636363,8.8,3.8
11,230898071.0,20990733.727272727,82257509.0,-45924710.0,609898071.0,55445279.18181818,152257509.0,13684249.0,379000000.0,34454545.45454545,70000000.0,10000000.0,0.861553541554506,2.5819556,-0.706534,7.09090909090909,8.4,5.6
11,378077872.0,34370715.63636363,160690539.0,-90181087.0,1254077872.0,114007079.27272727,250690539.0,35818913.0,876000000.0,79636363.63636364,140000000.0,31000000.0,0.6641657029802728,2.165679826923077,-0.7157229126984127,7.199999999999999,8.2,6.0
11,132731289.0,12066480.818181818,126167230.0,-39278967.0,774731289.0,70430117.18181819,166167230.0,10721033.0,642000000.0,58363636.36363637,110000000.0,30000000.0,0.29292788716458973,3.15418075,-0.78557934,6.527272727272727,8.4,5.2
11,-495750801.0,-45068254.63636363,55059709.0,-112634710.0,824249199.0,74931745.36363636,168052812.0,21321100.0,1320000000.0,120000000.0,200000000.0,5000000.0,0.2410852722592742,3.26422,-0.7039669375,7.181818181818182,8.2,5.8
11,-21512942.0,-1955722.0,84069126.0,-92958619.0,744487058.0,67680641.63636364,184069126.0,5887457.0,766000000.0,69636363.63636364,170000000.0,10000000.0,0.1617067355101257,1.8181176,-0.6729190555555555,7.109090909090909,8.6,5.6
11,305563463.0,30556346.3,147825435.0,-43550246.0,639563463.0,63956346.3,172825435.0,15342746.0,334000000.0,33400000.0,68000000.0,13000000.0,1.6547827497234295,8.53249,-0.6404447941176471,7.4,8.4,4.6
