Name,Worldwide Gross Revenue (sus),Domestic Opening,Domestic Gross,China Opening,China Gross,UK Opening,UK Gross,France Opening,France Gross,Germany Opening,Germany Gross,Italy Opening,Italy Gross,Spain Opening,Spain Gross,Japan Opening,Japan Gross,South Korea Opening,South Korea Gross,Australia Opening,Australia Gross,Russia/CIS Opening,Russia/CIS Gross,India Opening,India Gross
A Single Man,36661782.62,18660149.78,13475265.35,0.0,0.0,0.0,5926997.66,0.0,4258915.18,0.0,2367922.5,0.0,2249231.2,0.0,1278211.74,0.0,0.0,0.0,186621.26,0.0,1948118.64,0.0,3949747.72,0.0,0.0
A Star Is Born,505945603.5,213349.32,249630105.67,0.0,0.0,0.0,44158867.48,0.0,288529.41,0.0,13321737.74,0.0,9390120.0,0.0,6607862.22,0.0,809503.7,0.0,290093.27,0.0,192325.89,0.0,362047.09,0.0,0.0
A Walk Among the Tombstones,76765526.53,16647314.0,34325451.01,0.0,0.0,2800922.67,7806583.22,864905.44,1712569.6,1692684.86,5098616.5,678355.49,1467050.43,754174.56,1834614.17,0.0,0.0,1019218.35,2147490.95,1283888.98,2868517.75,1107867.25,1878415.41,0.0,0.0
A Walk to Remember,88354534.42,22653714.82,76794991.36,0.0,0.0,0.0,1256442.95,0.0,658486.61,0.0,1583246.48,0.0,450991.21,0.0,898637.62,0.0,0.0,458402.63,458402.63,0.0,1920236.98,79741.53,79741.53,0.0,0.0
Abduction,117036654.91,15576798.41,40045567.02,0.0,0.0,2100279.81,5230339.65,2996771.16,7670145.88,1440674.35,5912986.84,1282278.01,2888297.85,1454853.54,4647126.46,0.0,0.0,659842.14,1314540.13,1853564.72,6148978.78,1684074.54,4146929.62,0.0,0.0
About Schmidt,196883450.03,525285.8,120949445.78,0.0,0.0,2301286.7,11621989.42,0.0,4253544.94,0.0,7000541.47,0.0,8647583.04,0.0,7603087.16,631964.39,4419427.4,0.0,1543028.77,0.0,4866232.95,0.0,0.0,0.0,0.0
About Time,117055720.06,112240287.59,20592724.51,0.0,0.0,0.0,16259182.82,0.0,54934431.23,0.0,2486411.95,0.0,1027407.95,0.0,3890051.97,0.0,32233509.13,0.0,8210053.7,0.0,43962619.97,0.0,47184937.68,0.0,1198660.52
About a Boy,242860442.48,15919712.64,76988808.01,0.0,0.0,10174412.37,46465678.81,0.0,5483326.15,0.0,23928427.73,0.0,10696191.51,0.0,4240173.14,1911910.3,11818663.49,0.0,3507577.97,0.0,9801994.41,0.0,0.0,0.0,73364.44
Abraham Lincoln: Vampire Hunter,161223906.01,22572665.74,51935263.0,0.0,0.0,2415405.05,5357747.79,2254166.72,5400009.84,1442870.02,3904224.71,692564.04,2980457.62,1617996.37,4472145.42,1717175.34,7707870.99,1910046.18,3267165.68,1642278.6,3509452.29,5830884.47,16443056.68,419539.14,812932.87
Accepted,63838367.15,16567871.95,60037219.24,0.0,0.0,1081995.38,2270057.3,0.0,0.0,7270.88,81222.59,0.0,0.0,0.0,20125.07,0.0,0.0,0.0,0.0,0.0,0.0,188517.19,637276.89,0.0,0.0
Across the Universe,47540649.44,145094.35,39479454.78,0.0,0.0,0.0,210519.83,0.0,157821.27,0.0,204243.83,0.0,1969392.02,0.0,216999.64,0.0,627985.82,0.0,157437.75,0.0,2244767.67,0.0,0.0,0.0,0.0
Ad Astra,143459459.88,21386240.85,56487452.59,2258040.79,3668196.41,2378615.43,8665936.12,3260958.06,9877972.92,1006650.58,3783012.94,1005023.09,2230170.95,2366972.04,5844114.46,1814394.49,6832890.83,2620957.73,4260551.7,1483236.03,4293486.34,3436115.37,6295812.65,0.0,0.0
Adaptation.,59242567.07,3747552.58,40634829.74,0.0,0.0,0.0,1695649.47,0.0,11518729.06,0.0,646437.91,0.0,0.0,0.0,994056.53,0.0,49458432.65,0.0,0.0,0.0,2013.81,0.0,0.0,0.0,0.0
Adventureland,25963330.36,8655097.4,24268027.36,0.0,0.0,530699.67,1204850.32,0.0,0.0,0.0,0.0,11522.91,48318.17,34108.9,34108.9,0.0,0.0,0.0,0.0,73726.65,144021.23,0.0,0.0,0.0,0.0
After Earth,327394132.81,36984632.52,81336637.47,0.0,46338236.76,4705056.62,13085971.82,5167103.13,14068678.42,2439385.63,7245870.3,3171681.63,7859974.24,4086032.61,12299213.6,2751085.53,12521130.48,2846033.22,4591091.17,2412755.92,5008284.47,11230806.8,22876354.26,1333979.46,2392426.5
Aladdin,1186628440.42,102985101.71,400185030.08,20932989.45,60193983.84,8203980.03,59331544.7,4037204.6,21364575.93,3505297.02,24459908.62,7112891.53,19249823.66,5524498.09,32074719.68,11676654.18,126565820.25,6805763.81,102421355.73,5919465.02,30726094.5,0.0,21209899.51,3395343.81,10216053.26
Aladdin,567312962.17,17465046.94,244629586.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35260511.76,0.0,32125733.37,0.0,16930610.34,0.0,0.0,0.0,15610.81,0.0,0.0,0.0,0.0,0.0,0.0
Alexander,293358392.34,24000389.9,60140332.02,0.0,0.0,3930504.86,8945649.66,0.0,16030355.94,3459791.94,17739822.69,6503608.41,18992676.47,8113965.24,26155890.73,3404833.55,19293827.1,6359007.29,16043428.33,2243160.34,5716527.93,5028830.91,13964881.88,0.0,0.0
Ali G Indahouse,43308641.73,0.0,0.0,0.0,0.0,8571234.69,27610093.93,0.0,607149.92,0.0,4910991.64,0.0,30445.58,0.0,1079225.71,0.0,0.0,0.0,0.0,0.0,3987866.97,0.0,0.0,0.0,0.0
